Unnamed: 0,lat,lon,time,cloud cover mean,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
190976,-2.75,29.25,2042-09-01,0.7052341,3.4256757e-08,26.47137000000004,16.741780000000006,21.022550000000024,1012.2303
191999,-2.75,29.25,2042-10-01,0.79868096,4.6036295e-08,25.99615,15.87106,20.44933000000003,1025.9275
192058,-2.75,29.25,2042-11-01,0.7648779,5.4680612e-08,25.489980000000003,15.957899999999997,20.36070000000001,1075.8975
192643,-2.75,29.25,2042-12-01,0.85983354,1.4365375e-07,25.12808000000001,16.177819999999997,20.459040000000016,1106.6077
193704,-2.75,29.25,2043-01-01,0.85007185,1.2373359e-07,25.455930000000023,15.908200000000022,20.404660000000035,1091.5309
194110,-2.75,29.25,2043-02-01,0.7608138,6.971236e-08,25.95815000000005,16.150230000000022,20.631070000000022,1076.648
194529,-2.75,29.25,2043-03-01,0.82678175,8.1100175e-08,26.063559999999995,16.417570000000012,21.00353000000001,1102.1621
195133,-2.75,29.25,2043-04-01,0.91561294,1.5489869e-07,24.631770000000017,16.321560000000034,19.93470000000002,1168.581
195817,-2.75,29.25,2043-05-01,0.74335617,6.286666e-08,24.76480000000004,15.956630000000018,19.97628000000003,1097.0984
196643,-2.75,29.25,2043-06-01,0.6183949,2.8375782e-09,25.0899,15.69583,20.066130000000044,1036.9597
196687,-2.75,29.25,2043-07-01,0.47818917,2.3286677e-09,25.37390000000005,15.06863000000004,19.83013,943.1451
197747,-2.75,29.25,2043-08-01,0.6140314,1.7525075e-08,25.97308000000004,15.69592,20.3913,1008.7796
198223,-2.75,29.25,2043-09-01,0.7076668,4.3569116e-08,26.236540000000048,16.59316000000001,20.844400000000007,1022.7768
198942,-2.75,29.25,2043-10-01,0.8128755,4.926338e-08,25.68066000000005,15.90936000000005,20.59020000000004,1043.0145
199140,-2.75,29.25,2043-11-01,0.81762075,5.3658013e-08,25.316130000000044,16.168150000000026,20.49178000000001,1075.3755
199593,-2.75,29.25,2043-12-01,0.8797287,1.4412234e-07,25.211630000000014,16.04140000000001,20.48410000000001,1107.668
200323,-2.75,29.25,2044-01-01,0.7844587,8.3619284e-08,25.346220000000017,15.998300000000029,20.670560000000023,1091.426
201241,-2.75,29.25,2044-02-01,0.8180002,6.98915e-08,25.90133000000003,16.51293000000004,20.88796000000002,1077.3916
201682,-2.75,29.25,2044-03-01,0.86609286,1.0084338e-07,25.49444,16.285799999999995,20.45750000000004,1114.8999
202106,-2.75,29.25,2044-04-01,0.86865574,1.1443384e-07,24.91370000000001,16.17968000000002,20.180350000000036,1137.6406
202521,-2.75,29.25,2044-05-01,0.7025862,4.5926644e-08,24.808040000000005,16.122029999999995,20.28692000000001,1088.9141
203217,-2.75,29.25,2044-06-01,0.5538828,4.5006754e-10,25.41686000000004,15.47520000000003,19.96640000000002,1030.2313
204095,-2.75,29.25,2044-07-01,0.6459432,2.0823296e-09,25.35363000000001,15.08752000000004,20.109500000000025,1002.4619
204236,-2.75,29.25,2044-08-01,0.6378564,2.2557263e-09,25.87560000000002,15.898920000000032,20.68673000000001,997.32904
205081,-2.75,29.25,2044-09-01,0.7319284,2.2362508e-08,26.82430000000005,16.221220000000017,21.215100000000007,1001.83246
205466,-2.75,29.25,2044-10-01,0.84787595,7.383126e-08,25.34136000000001,16.503840000000025,20.34863000000001,1079.72
206063,-2.75,29.25,2044-11-01,0.8563524,7.091626e-08,25.268460000000005,16.11760000000004,20.51230000000004,1093.0237
206997,-2.75,29.25,2044-12-01,0.8347342,9.100875e-08,25.793630000000007,16.396569999999997,20.804070000000024,1103.9556
207244,-2.75,29.25,2045-01-01,0.8518996,1.2706651e-07,25.297720000000027,16.290300000000002,20.526760000000024,1099.6769
208138,-2.75,29.25,2045-02-01,0.82302904,6.7721984e-08,26.39870000000002,16.82125000000002,21.392970000000048,1103.8792
208623,-2.75,29.25,2045-03-01,0.78101265,5.909616e-08,26.43110000000001,16.147580000000005,21.220970000000023,1095.1089
209042,-2.75,29.25,2045-04-01,0.8990076,1.1744634e-07,24.64718000000005,16.443100000000015,19.97305,1140.5469
209505,-2.75,29.25,2045-05-01,0.79105955,5.691308e-08,24.767200000000003,15.67333000000002,20.111260000000016,1106.5308
210386,-2.75,29.25,2045-06-01,0.7495658,1.934362e-08,25.049800000000005,15.576000000000022,20.12850000000003,1059.5228
210604,-2.75,29.25,2045-07-01,0.6201662,3.5795968e-09,25.07784000000004,15.193700000000035,19.590419999999995,1018.2533
211518,-2.75,29.25,2045-08-01,0.58452517,1.5175896e-09,25.84884,15.83970000000005,20.64733000000001,1001.2432
211749,-2.75,29.25,2045-09-01,0.72552216,4.143203e-08,26.45080000000001,16.876250000000027,21.23950000000002,1028.2773
212370,-2.75,29.25,2045-10-01,0.848427,5.8430185e-08,25.3689,16.401850000000024,20.649159999999995,1076.307
213057,-2.75,29.25,2045-11-01,0.8469695,5.7754733e-08,25.666200000000003,16.169200000000046,20.449460000000045,1100.2745
213543,-2.75,29.25,2045-12-01,0.85892034,1.1595416e-07,25.31396000000001,15.955740000000048,20.06915000000004,1093.4048
214219,-2.75,29.25,2046-01-01,0.82626575,1.1477592e-07,25.57930000000005,15.98132000000004,20.33212000000003,1103.7122
214837,-2.75,29.25,2046-02-01,0.8239799,8.664449e-08,25.54788000000002,16.417700000000025,20.69286,1089.2112
215460,-2.75,29.25,2046-03-01,0.8323464,1.3366076e-07,25.119560000000035,16.013270000000034,20.12390000000005,1093.1006
216041,-2.75,29.25,2046-04-01,0.8153751,1.0610556e-07,24.971000000000004,15.904200000000005,19.793180000000007,1105.7959
216607,-2.75,29.25,2046-05-01,0.7472163,3.268796e-08,24.849360000000047,16.06313,20.06558000000001,1071.6562
217012,-2.75,29.25,2046-06-01,0.6232285,8.833698e-10,25.36700000000002,15.504819999999995,20.04077000000001,1001.96277
217381,-2.75,29.25,2046-07-01,0.6411613,0.0,25.20168000000001,15.345820000000003,20.006370000000004,914.2582
217958,-2.75,29.25,2046-08-01,0.69146806,9.503562e-09,25.84478000000001,15.997029999999995,20.576700000000017,1020.25226
218681,-2.75,29.25,2046-09-01,0.75366056,4.685397e-08,26.634400000000028,16.719899999999996,20.97332,1025.4836
219560,-2.75,29.25,2046-10-01,0.81620705,5.6389997e-08,25.34628000000004,16.556820000000016,20.476920000000007,1059.3258
