Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21190.01","Meat meal","2021","2021","1000 US$","122","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21111.02","Meat of cattle boneless, fresh or chilled","2021","2021","1000 US$","21","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 US$","42","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21121","Meat of chickens, fresh or chilled","2021","2021","1000 US$","1806","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21122","Meat of ducks, fresh or chilled","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21113.02","Meat of pig boneless, fresh or chilled","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","1000 US$","10","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21115","Meat of sheep, fresh or chilled","2021","2021","1000 US$","18","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21124","Meat of turkeys, fresh or chilled","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F1172","Meat prepared n.e.c.","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01449.01","Melonseed","2021","2021","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0118","Millet","2021","2021","1000 US$","380","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23180","Mixes and doughs for the preparation of bakers' wares","2021","2021","1000 US$","58","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23540","Molasses","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01270","Mushrooms and truffles","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","24212.01","Must of grape","2021","2021","1000 US$","51","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01442","Mustard seed","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02910","Natural honey","2021","2021","1000 US$","1089","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01950.02","Natural rubber in other forms","2021","2021","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01950.01","Natural rubber in primary forms","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01653","Nutmeg, mace, cardamoms, raw","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0117","Oats","2021","2021","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23140.07","Oats, rolled","2021","2021","1000 US$","148","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21691.04","Oil of castor beans","2021","2021","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21691.12","Oil of linseed","2021","2021","1000 US$","211","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21691.02","Oil of maize","2021","2021","1000 US$","19","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21673","Oil of olive residues","2021","2021","1000 US$","201","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21691.14","Oil of palm kernel","2021","2021","1000 US$","1004","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21691.07","Oil of sesame seed","2021","2021","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","2167","Olive oil","2021","2021","1000 US$","590","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01450","Olives","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0262","Olives preserved","2021","2021","1000 US$","42","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","1000 US$","1767","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21431.01","Orange juice","2021","2021","1000 US$","255","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21431.02","Orange juice, concentrated","2021","2021","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01323","Oranges","2021","2021","1000 US$","3325","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01241.90","Other beans, green","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01329","Other citrus fruit, n.e.c.","2021","2021","1000 US$","7","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01929.90","Other fibre crops, raw, n.e.c.","2021","2021","1000 US$","8","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01919.96","Other forage products, n.e.c.","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23210.03","Other fructose and syrup","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21419.99","Other fruit n.e.c., dried","2021","2021","1000 US$","8","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01359.90","Other fruits, n.e.c.","2021","2021","1000 US$","19","A","Official figure"
